Time (hr:min),counts/sec
02:56,41.155
03:06,42.767
03:16,41.144
03:26,41.409
03:36,39.905
03:46,41.695
03:56,41.163
04:06,41.581
04:16,41.699
04:26,42.411
04:36,41.136
04:46,40.522
04:56,39.345
05:06,40.744
05:16,40.643
05:26,40.172
05:36,38.897
05:46,40.258
05:56,40.891
06:06,40.219
06:16,40.06
06:26,39.448
06:36,38.888
06:46,38.658
06:56,38.948
07:06,39.164
07:16,39.337
07:26,39.29
07:36,39.58
07:46,39.896
07:56,41.003
08:06,39.502
08:16,39.691
08:26,39.862
08:36,40.961
08:46,41.184
08:56,40.044
09:06,40.284
09:16,39.872
09:26,41.285
09:36,39.994
09:46,40.666
09:56,40.054
10:06,40.407
10:16,39.034
10:26,39.295
10:36,39.066
10:46,40.59
10:56,40.11
11:06,39.501
11:16,40.958
11:26,40.855
11:36,40.684
11:46,41.326
11:56,40.244
12:06,41.35
12:16,39.141
12:26,40.546
12:36,40.135
12:46,40.759
12:56,41.83
13:06,40.524
13:16,40.72
13:26,40.211
13:36,41.203
13:46,40.675
13:56,40.361
14:06,39.409
14:16,40.022
14:26,40.397
14:36,41.655
14:46,42.325
14:56,42.451
15:06,42.709
15:16,40.427
15:26,41.351
15:36,41.225
15:46,40.941
15:56,41.2
16:06,42.396
16:16,42.514
16:26,41.003
16:36,41.836
16:46,41.736
16:56,42.166
17:06,43.572
17:16,42.307
17:26,42.982
17:36,42.34
17:46,42.325
17:56,41.348
18:06,41.87
18:16,42.727
18:26,42.874
18:36,43.201
18:46,42.445
18:56,42.683
19:06,42.077
19:16,43.734
19:26,43.417
19:36,42.589
19:46,44.055
19:56,43.318
20:06,42.465
20:16,43.577
20:26,42.568
20:36,43.883
20:46,40.999
20:56,42.32
21:06,41.645
21:16,41.73
21:26,43.184
21:36,43.196
21:46,43.181
21:56,42.515
22:06,40.326
22:16,42.24
22:26,43.335
22:36,41.624
22:46,43.453
22:56,42.439
23:06,42.745
23:16,43.255
23:26,43.111
23:36,42.997
23:46,43.462
23:56,42.646
00:06,41.622
00:16,41.99
00:26,43.126
00:36,43.773
00:46,41.339
00:56,43.501
01:06,41.866
01:16,40.775
01:26,41.857
01:36,41.927
01:46,42.672
01:56,42.042
02:06,43.624
02:16,42.21
02:26,42.886
02:36,42.061
02:46,42.47
02:56,41.555
03:06,42.986
03:16,40.594
03:26,40.224
03:36,41.552
03:46,42.606
03:56,41.973
04:06,41.963
04:16,43.169
04:26,41.121
04:36,41.647
04:46,40.679
04:56,42.207
05:06,41.939
05:16,41.146
05:26,41.473
05:36,41.14
05:46,41.379
05:56,40.76
06:06,41.434
06:16,40.804
06:26,40.787
06:36,41.631
06:46,39.524
06:56,39.96
07:06,41.194
07:16,40.555
07:26,41.728
07:36,40.413
07:46,42.17
07:56,40.435
08:06,40.252
08:16,39.145
08:26,41.224
08:36,41.006
08:46,40.358
08:56,38.316
09:06,39.795
09:16,41.443
09:26,39.76
09:36,40.615
09:46,40.445
09:56,41.249
